"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"50.0","0.0","50.0","-2.3270254929652058E10","-2335319.9430480707","-3.143798799716906E10","1","1.0E-10","3.3434059999999994E-27","2771.8685091582843","8.358514999999999E-24","2771.8685091582843"
"43.018923521104384","-7.005959829144212E-4","40.568603600849286","-7.189906525655377E10","-8769420.108613882","-9.648548100789809E10","1","3.0E-10","3.3434059999999994E-27","3505.2243765821104","7.469530241171762E-24","3505.2243765821104"
"35.82901699544901","-0.0015775379937758094","30.920055500059476","-1.0315959169796696E11","-1.7842995572863355E7","-1.3561896416962134E11","1","4.0E-10","3.3434059999999994E-27","5342.459998341507","5.845008200075603E-24","5342.459998341507"
"25.51305782565231","-0.003361837551062145","17.35815908309734","-1.507440720015666E11","-3.5927978311484195E7","-1.8795143877511148E11","1","5.0E-10","3.3434059999999994E-27","9504.515104256614","3.744227375507971E-24","9504.515104256614"
"10.43865062549565","-0.006954635382210564","-1.4369847944138066","-2.536934290052409E11","-5.250883769221808E7","-2.7979380657493024E11","1","6.0E-10","3.3434059999999994E-27","20515.643601570446","1.591832069266306E-24","20515.643601570446"
"-14.930692275028441","-0.012205519151432372","-29.41636545190683","-2.457687849797529E11","7.140260526539235E7","-2.896988035118013E11","1","7.0E-10","3.3434059999999994E-27","40148.96885966993","1.856098536864415E-25","40148.96885966993"
"-39.507570773003735","-0.005065258624893137","-58.38624580308696","-1.4085128691893164E11","-1.524822256651776E9","-2.4961291120914877E11","1","7.999999999999999E-10","3.3434059999999994E-27","23926.34367187599","1.8192279097173854E-24","23926.34367187599"
"-53.592699464896896","-0.15754748429007073","-83.34753692400184","-7.69298612904707E10","-1.8251999352881765E9","-2.502563195232287E11","1","8.999999999999999E-10","3.3434059999999994E-27","4703.302800856591","8.308032700531868E-24","4703.302800856591"
"-61.28568559394397","-0.34006747781888835","-108.37316887632471","-2.8570919493241455E10","-7.752327693250546E9","-2.148763497946669E11","1","9.999999999999999E-10","3.3434059999999994E-27","-425.04678361115367","1.6414475442427693E-23","-425.04678361115367"
"-64.14277754326811","-1.115300247143943","-129.8608038557914","9.99759794319645E9","-7.592083707310041E9","-1.8682518168809656E11","1","1.1E-9","3.3434059999999994E-27","505.5409125156721","2.5912724896899027E-23","505.5409125156721"
"-63.143017748948466","-1.8745086178749473","-148.54332202460105","3.594086418280711E10","-7.170843530655153E9","-1.615530049387347E11","1","1.2E-9","3.3434059999999994E-27","909.5570092145665","3.5071272730760377E-23","909.5570092145665"
